,Date,Close/Last,Volume,Open,High,Low,Symbol
0,2022-09-23,$237.92,34176050,$239.54,$241.13,$235.2,MSFT
1,2022-09-22,$240.98,31061160,$237.87,$243.86,$237.57,MSFT
2,2022-09-21,$238.95,28625560,$244.27,$247.66,$238.9,MSFT
3,2022-09-20,$242.45,26660300,$242.065,$243.51,$239.64,MSFT
4,2022-09-19,$244.52,26826930,$242.465,$245.14,$240.85,MSFT
5,2022-09-16,$244.74,39791770,$244.26,$245.3,$242.0627,MSFT
6,2022-09-15,$245.38,31530950,$249.77,$251.4,$244.02,MSFT
7,2022-09-14,$252.22,23912950,$253.53,$254.23,$249.86,MSFT
8,2022-09-13,$251.99,33353320,$258.84,$260.4,$251.59,MSFT
9,2022-09-12,$266.65,18747690,$265.78,$267.45,$265.16,MSFT
10,2022-09-09,$264.46,22093190,$260.5,$265.23,$260.29,MSFT
11,2022-09-08,$258.52,20319910,$257.51,$260.43,$254.79,MSFT
12,2022-09-07,$258.09,24126700,$254.7,$258.83,$253.22,MSFT
13,2022-09-06,$253.25,21328240,$256.2,$257.83,$251.94,MSFT
14,2022-09-02,$256.06,22855380,$261.695,$264.74,$254.47,MSFT
15,2022-09-01,$260.4,23263430,$258.87,$260.89,$255.41,MSFT
16,2022-08-31,$261.47,24791830,$265.39,$267.11,$261.33,MSFT
17,2022-08-30,$262.97,22767070,$266.67,$267.05,$260.66,MSFT
18,2022-08-29,$265.23,20338540,$265.85,$267.4,$263.85,MSFT
19,2022-08-26,$268.09,27549310,$279.08,$280.34,$267.98,MSFT
20,2022-08-25,$278.85,16583410,$277.33,$279.02,$274.52,MSFT
21,2022-08-24,$275.79,18137020,$275.41,$277.23,$275.11,MSFT
22,2022-08-23,$276.44,17527410,$276.44,$278.86,$275.4,MSFT
23,2022-08-22,$277.75,25061070,$282.08,$282.46,$277.22,MSFT
24,2022-08-19,$286.15,20570030,$288.9,$289.25,$285.56,MSFT
25,2022-08-18,$290.17,17186190,$290.189,$291.91,$289.08,MSFT
26,2022-08-17,$291.32,18253360,$289.74,$293.35,$289.47,MSFT
27,2022-08-16,$292.71,18102880,$291.99,$294.04,$290.42,MSFT
28,2022-08-15,$293.47,18085650,$291,$294.18,$290.11,MSFT
29,2022-08-12,$291.91,22619680,$288.48,$291.91,$286.94,MSFT
30,2022-08-11,$287.02,20065940,$290.85,$291.21,$286.51,MSFT
31,2022-08-10,$289.16,24687850,$288.17,$289.81,$286.94,MSFT
32,2022-08-09,$282.3,23405240,$279.64,$283.08,$277.61,MSFT
33,2022-08-08,$280.32,18757820,$284.05,$285.92,$279.32,MSFT
34,2022-08-05,$282.91,16774610,$279.15,$283.65,$278.68,MSFT
35,2022-08-04,$283.65,18098670,$281.8,$283.8,$280.1677,MSFT
36,2022-08-03,$282.47,23518870,$276.76,$283.5,$276.61,MSFT
37,2022-08-02,$274.82,22754180,$276,$277.89,$272.38,MSFT
38,2022-08-01,$278.01,21539580,$277.82,$281.28,$275.84,MSFT
39,2022-07-29,$280.74,32152750,$277.7,$282,$276.63,MSFT
40,2022-07-28,$276.41,33459330,$269.75,$277.84,$267.87,MSFT
41,2022-07-27,$268.74,45994050,$261.16,$270.05,$258.85,MSFT
42,2022-07-26,$251.9,39347960,$259.86,$259.88,$249.57,MSFT
43,2022-07-25,$258.83,21056000,$260.995,$261.5,$256.81,MSFT
44,2022-07-22,$260.36,21881290,$265.24,$265.33,$259.07,MSFT
45,2022-07-21,$264.84,22404680,$259.79,$264.89,$257.03,MSFT
46,2022-07-20,$262.27,22788280,$259.9,$264.87,$258.91,MSFT
47,2022-07-19,$259.53,25012560,$257.575,$259.72,$253.68,MSFT
